,,,,,,,,,,10,,,,,100,,,10,,,,,,,,,,,,,10,,,,,,,10,,,,
22.3,2.44953,,22.3,0,,22.3,19.58,,22.3,0,0,,22.3,60.5,0.605,,22.3,64.02,6.402,,22.3,95.2,,22.3,2.2625,,22.3,5,,22.3,223,403,,22.3,14.7,,22.3,223,330.04,,22.3,11.32
17.4,1.20742,,17.4,0,,17.4,19.58,,17.4,0,0,,17.4,60.5,0.605,,17.4,58.75,5.875,,17.4,94.6,,17.4,2.4259,,17.4,5,,17.4,174,403,,17.4,14.7,,17.4,174,292.29,,17.4,14.43
19.1,2.3139,,19.1,0,,19.1,19.58,,19.1,0,0,,19.1,60.5,0.605,,19.1,58.8,5.88,,19.1,97.3,,19.1,2.3887,,19.1,5,,19.1,191,403,,19.1,14.7,,19.1,191,348.13,,19.1,12.03
23.1,0.13914,,23.1,0,,23.1,4.05,,23.1,0,0,,23.1,51,0.51,,23.1,55.72,5.572,,23.1,88.5,,23.1,2.5961,,23.1,5,,23.1,231,296,,23.1,16.6,,23.1,231,396.9,,23.1,14.69
23.6,0.09178,,23.6,0,,23.6,4.05,,23.6,0,0,,23.6,51,0.51,,23.6,64.16,6.416,,23.6,84.1,,23.6,2.6463,,23.6,5,,23.6,236,296,,23.6,16.6,,23.6,236,395.5,,23.6,9.04
22.6,0.08447,,22.6,0,,22.6,4.05,,22.6,0,0,,22.6,51,0.51,,22.6,58.59,5.859,,22.6,68.7,,22.6,2.7019,,22.6,5,,22.6,226,296,,22.6,16.6,,22.6,226,393.23,,22.6,9.64
29.4,0.06664,,29.4,0,,29.4,4.05,,29.4,0,0,,29.4,51,0.51,,29.4,65.46,6.546,,29.4,33.1,,29.4,3.1323,,29.4,5,,29.4,294,296,,29.4,16.6,,29.4,294,390.96,,29.4,5.33
23.2,0.07022,,23.2,0,,23.2,4.05,,23.2,0,0,,23.2,51,0.51,,23.2,60.2,6.02,,23.2,47.2,,23.2,3.5549,,23.2,5,,23.2,232,296,,23.2,16.6,,23.2,232,393.23,,23.2,10.11
24.6,0.05425,,24.6,0,,24.6,4.05,,24.6,0,0,,24.6,51,0.51,,24.6,63.15,6.315,,24.6,73.4,,24.6,3.3175,,24.6,5,,24.6,246,296,,24.6,16.6,,24.6,246,395.6,,24.6,6.29
29.9,0.06642,,29.9,0,,29.9,4.05,,29.9,0,0,,29.9,51,0.51,,29.9,68.6,6.86,,29.9,74.4,,29.9,2.9153,,29.9,5,,29.9,299,296,,29.9,16.6,,29.9,299,391.27,,29.9,6.92
37.2,0.0578,,37.2,0,,37.2,2.46,,37.2,0,0,,37.2,48.8,0.488,,37.2,69.8,6.98,,37.2,58.4,,37.2,2.829,,37.2,3,,37.2,372,193,,37.2,17.8,,37.2,372,396.9,,37.2,5.04
39.8,0.06588,,39.8,0,,39.8,2.46,,39.8,0,0,,39.8,48.8,0.488,,39.8,77.65,7.765,,39.8,83.3,,39.8,2.741,,39.8,3,,39.8,398,193,,39.8,17.8,,39.8,398,395.56,,39.8,7.56
36.2,0.06888,,36.2,0,,36.2,2.46,,36.2,0,0,,36.2,48.8,0.488,,36.2,61.44,6.144,,36.2,62.2,,36.2,2.5979,,36.2,3,,36.2,362,193,,36.2,17.8,,36.2,362,396.9,,36.2,9.45
37.9,0.09103,,37.9,0,,37.9,2.46,,37.9,0,0,,37.9,48.8,0.488,,37.9,71.55,7.155,,37.9,92.2,,37.9,2.7006,,37.9,3,,37.9,379,193,,37.9,17.8,,37.9,379,394.12,,37.9,4.82
32.5,0.10008,,32.5,0,,32.5,2.46,,32.5,0,0,,32.5,48.8,0.488,,32.5,65.63,6.563,,32.5,95.6,,32.5,2.847,,32.5,3,,32.5,325,193,,32.5,17.8,,32.5,325,396.9,,32.5,5.68
50,0.05602,,50,0,,50,2.46,,50,0,0,,50,48.8,0.488,,50,78.31,7.831,,50,53.6,,50,3.1992,,50,3,,50,500,193,,50,17.8,,50,500,392.63,,50,4.45
32,0.07875,,32,45,,32,3.44,,32,0,0,,32,43.7,0.437,,32,67.82,6.782,,32,41.1,,32,3.7886,,32,5,,32,320,398,,32,15.2,,32,320,393.87,,32,6.68
34.9,0.0837,,34.9,45,,34.9,3.44,,34.9,0,0,,34.9,43.7,0.437,,34.9,71.85,7.185,,34.9,38.9,,34.9,4.5667,,34.9,5,,34.9,349,398,,34.9,15.2,,34.9,349,396.9,,34.9,5.39
37,0.09068,,37,45,,37,3.44,,37,0,0,,37,43.7,0.437,,37,69.51,6.951,,37,21.5,,37,6.4798,,37,5,,37,370,398,,37,15.2,,37,370,377.68,,37,5.1
30.5,0.06911,,30.5,45,,30.5,3.44,,30.5,0,0,,30.5,43.7,0.437,,30.5,67.39,6.739,,30.5,30.8,,30.5,6.4798,,30.5,5,,30.5,305,398,,30.5,15.2,,30.5,305,389.71,,30.5,4.69
36.4,0.08664,,36.4,45,,36.4,3.44,,36.4,0,0,,36.4,43.7,0.437,,36.4,71.78,7.178,,36.4,26.3,,36.4,6.4798,,36.4,5,,36.4,364,398,,36.4,15.2,,36.4,364,390.49,,36.4,2.87
31.1,0.02187,,31.1,60,,31.1,2.93,,31.1,0,0,,31.1,40.1,0.401,,31.1,68,6.8,,31.1,9.9,,31.1,6.2196,,31.1,1,,31.1,311,265,,31.1,15.6,,31.1,311,393.37,,31.1,5.03
29.1,0.01439,,29.1,60,,29.1,2.93,,29.1,0,0,,29.1,40.1,0.401,,29.1,66.04,6.604,,29.1,18.8,,29.1,6.2196,,29.1,1,,29.1,291,265,,29.1,15.6,,29.1,291,376.7,,29.1,4.38
30.3,0.04666,,30.3,80,,30.3,1.52,,30.3,0,0,,30.3,40.4,0.404,,30.3,71.07,7.107,,30.3,36.6,,30.3,7.309,,30.3,2,,30.3,303,329,,30.3,12.6,,30.3,303,354.31,,30.3,8.61
32.9,0.01778,,32.9,95,,32.9,1.47,,32.9,0,0,,32.9,40.3,0.403,,32.9,71.35,7.135,,32.9,13.9,,32.9,7.6534,,32.9,3,,32.9,329,402,,32.9,17,,32.9,329,384.3,,32.9,4.45
24.1,0.03445,,24.1,82.5,,24.1,2.03,,24.1,0,0,,24.1,41.5,0.415,,24.1,61.62,6.162,,24.1,38.4,,24.1,6.27,,24.1,2,,24.1,241,348,,24.1,14.7,,24.1,241,393.77,,24.1,7.43
48.5,0.0351,,48.5,95,,48.5,2.68,,48.5,0,0,,48.5,41.61,0.4161,,48.5,78.53,7.853,,48.5,33.2,,48.5,5.118,,48.5,4,,48.5,485,224,,48.5,14.7,,48.5,485,392.78,,48.5,3.81
50,0.02009,,50,95,,50,2.68,,50,0,0,,50,41.61,0.4161,,50,80.34,8.034,,50,31.9,,50,5.118,,50,4,,50,500,224,,50,14.7,,50,500,390.55,,50,2.88
22.6,0.13642,,22.6,0,,22.6,10.59,,22.6,0,0,,22.6,48.9,0.489,,22.6,58.91,5.891,,22.6,22.3,,22.6,3.9454,,22.6,4,,22.6,226,277,,22.6,18.6,,22.6,226,396.9,,22.6,10.87
24.4,0.22969,,24.4,0,,24.4,10.59,,24.4,0,0,,24.4,48.9,0.489,,24.4,63.26,6.326,,24.4,52.5,,24.4,4.3549,,24.4,4,,24.4,244,277,,24.4,18.6,,24.4,244,394.87,,24.4,10.97
24.4,0.13587,,24.4,0,,24.4,10.59,,24.4,10,1,,24.4,48.9,0.489,,24.4,60.64,6.064,,24.4,59.1,,24.4,4.2392,,24.4,4,,24.4,244,277,,24.4,18.6,,24.4,244,381.32,,24.4,14.66
19.3,0.37578,,19.3,0,,19.3,10.59,,19.3,10,1,,19.3,48.9,0.489,,19.3,54.04,5.404,,19.3,88.6,,19.3,3.665,,19.3,4,,19.3,193,277,,19.3,18.6,,19.3,193,395.24,,19.3,23.98
28.1,0.14052,,28.1,0,,28.1,10.59,,28.1,0,0,,28.1,48.9,0.489,,28.1,63.75,6.375,,28.1,32.3,,28.1,3.9454,,28.1,4,,28.1,281,277,,28.1,18.6,,28.1,281,385.81,,28.1,9.38
23.7,0.28955,,23.7,0,,23.7,10.59,,23.7,0,0,,23.7,48.9,0.489,,23.7,54.12,5.412,,23.7,9.8,,23.7,3.5875,,23.7,4,,23.7,237,277,,23.7,18.6,,23.7,237,348.93,,23.7,29.55
23.3,0.0456,,23.3,0,,23.3,13.89,,23.3,10,1,,23.3,55,0.55,,23.3,58.88,5.888,,23.3,56,,23.3,3.1121,,23.3,5,,23.3,233,276,,23.3,16.4,,23.3,233,392.8,,23.3,13.51
21.7,0.40771,,21.7,0,,21.7,6.2,,21.7,10,1,,21.7,50.7,0.507,,21.7,61.64,6.164,,21.7,91.3,,21.7,3.048,,21.7,8,,21.7,217,307,,21.7,17.4,,21.7,217,395.24,,21.7,21.46
27.5,0.62356,,27.5,0,,27.5,6.2,,27.5,10,1,,27.5,50.7,0.507,,27.5,68.79,6.879,,27.5,77.7,,27.5,3.2721,,27.5,8,,27.5,275,307,,27.5,17.4,,27.5,275,390.39,,27.5,9.93
30.1,0.6147,,30.1,0,,30.1,6.2,,30.1,0,0,,30.1,50.7,0.507,,30.1,66.18,6.618,,30.1,80.8,,30.1,3.2721,,30.1,8,,30.1,301,307,,30.1,17.4,,30.1,301,396.9,,30.1,7.6
44.8,0.31533,,44.8,0,,44.8,6.2,,44.8,0,0,,44.8,50.4,0.504,,44.8,82.66,8.266,,44.8,78.3,,44.8,2.8944,,44.8,8,,44.8,448,307,,44.8,17.4,,44.8,448,385.05,,44.8,4.14
50,0.52693,,50,0,,50,6.2,,50,0,0,,50,50.4,0.504,,50,87.25,8.725,,50,83,,50,2.8944,,50,8,,50,500,307,,50,17.4,,50,500,382,,50,4.63
37.6,0.38214,,37.6,0,,37.6,6.2,,37.6,0,0,,37.6,50.4,0.504,,37.6,80.4,8.04,,37.6,86.5,,37.6,3.2157,,37.6,8,,37.6,376,307,,37.6,17.4,,37.6,376,387.38,,37.6,3.13
31.6,0.41238,,31.6,0,,31.6,6.2,,31.6,0,0,,31.6,50.4,0.504,,31.6,71.63,7.163,,31.6,79.9,,31.6,3.2157,,31.6,8,,31.6,316,307,,31.6,17.4,,31.6,316,372.08,,31.6,6.36
31.5,0.44178,,31.5,0,,31.5,6.2,,31.5,0,0,,31.5,50.4,0.504,,31.5,65.52,6.552,,31.5,21.4,,31.5,3.3751,,31.5,8,,31.5,315,307,,31.5,17.4,,31.5,315,380.34,,31.5,3.76
24.3,0.537,,24.3,0,,24.3,6.2,,24.3,0,0,,24.3,50.4,0.504,,24.3,59.81,5.981,,24.3,68.1,,24.3,3.6715,,24.3,8,,24.3,243,307,,24.3,17.4,,24.3,243,378.35,,24.3,11.65
41.7,0.57529,,41.7,0,,41.7,6.2,,41.7,0,0,,41.7,50.7,0.507,,41.7,83.37,8.337,,41.7,73.3,,41.7,3.8384,,41.7,8,,41.7,417,307,,41.7,17.4,,41.7,417,385.91,,41.7,2.47
48.3,0.33147,,48.3,0,,48.3,6.2,,48.3,0,0,,48.3,50.7,0.507,,48.3,82.47,8.247,,48.3,70.4,,48.3,3.6519,,48.3,8,,48.3,483,307,,48.3,17.4,,48.3,483,378.95,,48.3,3.95
29,0.44791,,29,0,,29,6.2,,29,10,1,,29,50.7,0.507,,29,67.26,6.726,,29,66.5,,29,3.6519,,29,8,,29,290,307,,29,17.4,,29,290,360.2,,29,8.05
24,0.33045,,24,0,,24,6.2,,24,0,0,,24,50.7,0.507,,24,60.86,6.086,,24,61.5,,24,3.6519,,24,8,,24,240,307,,24,17.4,,24,240,376.75,,24,10.88
25.1,0.52058,,25.1,0,,25.1,6.2,,25.1,10,1,,25.1,50.7,0.507,,25.1,66.31,6.631,,25.1,76.5,,25.1,4.148,,25.1,8,,25.1,251,307,,25.1,17.4,,25.1,251,388.45,,25.1,9.54
22,0.11329,,22,30,,22,4.93,,22,0,0,,22,42.8,0.428,,22,68.97,6.897,,22,54.3,,22,6.3361,,22,6,,22,220,300,,22,16.6,,22,220,391.25,,22,11.38
22.2,0.1029,,22.2,30,,22.2,4.93,,22.2,0,0,,22.2,42.8,0.428,,22.2,63.58,6.358,,22.2,52.9,,22.2,7.0355,,22.2,6,,22.2,222,300,,22.2,16.6,,22.2,222,372.75,,22.2,11.22
23.7,0.12757,,23.7,30,,23.7,4.93,,23.7,0,0,,23.7,42.8,0.428,,23.7,63.93,6.393,,23.7,7.8,,23.7,7.0355,,23.7,6,,23.7,237,300,,23.7,16.6,,23.7,237,374.71,,23.7,5.19
17.6,0.20608,,17.6,22,,17.6,5.86,,17.6,0,0,,17.6,43.1,0.431,,17.6,55.93,5.593,,17.6,76.5,,17.6,7.9549,,17.6,7,,17.6,176,330,,17.6,19.1,,17.6,176,372.49,,17.6,12.5
24.3,0.33983,,24.3,22,,24.3,5.86,,24.3,0,0,,24.3,43.1,0.431,,24.3,61.08,6.108,,24.3,34.9,,24.3,8.0555,,24.3,7,,24.3,243,330,,24.3,19.1,,24.3,243,390.18,,24.3,9.16
24.5,0.16439,,24.5,22,,24.5,5.86,,24.5,0,0,,24.5,43.1,0.431,,24.5,64.33,6.433,,24.5,49.1,,24.5,7.8265,,24.5,7,,24.5,245,330,,24.5,19.1,,24.5,245,374.71,,24.5,9.52
26.2,0.19073,,26.2,22,,26.2,5.86,,26.2,0,0,,26.2,43.1,0.431,,26.2,67.18,6.718,,26.2,17.5,,26.2,7.8265,,26.2,7,,26.2,262,330,,26.2,19.1,,26.2,262,393.74,,26.2,6.56
24.4,0.1403,,24.4,22,,24.4,5.86,,24.4,0,0,,24.4,43.1,0.431,,24.4,64.87,6.487,,24.4,13,,24.4,7.3967,,24.4,7,,24.4,244,330,,24.4,19.1,,24.4,244,396.28,,24.4,5.9
24.8,0.21409,,24.8,22,,24.8,5.86,,24.8,0,0,,24.8,43.1,0.431,,24.8,64.38,6.438,,24.8,8.9,,24.8,7.3967,,24.8,7,,24.8,248,330,,24.8,19.1,,24.8,248,377.07,,24.8,3.59
42.8,0.36894,,42.8,22,,42.8,5.86,,42.8,0,0,,42.8,43.1,0.431,,42.8,82.59,8.259,,42.8,8.4,,42.8,8.9067,,42.8,7,,42.8,428,330,,42.8,19.1,,42.8,428,396.9,,42.8,3.54
33.8,0.54011,,33.8,20,,33.8,3.97,,33.8,0,0,,33.8,64.7,0.647,,33.8,72.03,7.203,,33.8,81.8,,33.8,2.1121,,33.8,5,,33.8,338,264,,33.8,13,,33.8,338,392.8,,33.8,9.59
43.1,0.53412,,43.1,20,,43.1,3.97,,43.1,0,0,,43.1,64.7,0.647,,43.1,75.2,7.52,,43.1,89.4,,43.1,2.1398,,43.1,5,,43.1,431,264,,43.1,13,,43.1,431,388.37,,43.1,7.26
48.8,0.52014,,48.8,20,,48.8,3.97,,48.8,0,0,,48.8,64.7,0.647,,48.8,83.98,8.398,,48.8,91.5,,48.8,2.2885,,48.8,5,,48.8,488,264,,48.8,13,,48.8,488,386.86,,48.8,5.91
31,0.82526,,31,20,,31,3.97,,31,0,0,,31,64.7,0.647,,31,73.27,7.327,,31,94.5,,31,2.0788,,31,5,,31,310,264,,31,13,,31,310,393.42,,31,11.25
36.5,0.55007,,36.5,20,,36.5,3.97,,36.5,0,0,,36.5,64.7,0.647,,36.5,72.06,7.206,,36.5,91.6,,36.5,1.9301,,36.5,5,,36.5,365,264,,36.5,13,,36.5,365,387.89,,36.5,8.1
22.8,0.76162,,22.8,20,,22.8,3.97,,22.8,0,0,,22.8,64.7,0.647,,22.8,55.6,5.56,,22.8,62.8,,22.8,1.9865,,22.8,5,,22.8,228,264,,22.8,13,,22.8,228,392.4,,22.8,10.45
30.7,0.7857,,30.7,20,,30.7,3.97,,30.7,0,0,,30.7,64.7,0.647,,30.7,70.14,7.014,,30.7,84.6,,30.7,2.1329,,30.7,5,,30.7,307,264,,30.7,13,,30.7,307,384.07,,30.7,14.79
43.5,0.5405,,43.5,20,,43.5,3.97,,43.5,0,0,,43.5,57.5,0.575,,43.5,74.7,7.47,,43.5,52.6,,43.5,2.872,,43.5,5,,43.5,435,264,,43.5,13,,43.5,435,390.3,,43.5,3.16
25.2,0.16211,,25.2,20,,25.2,6.96,,25.2,0,0,,25.2,46.4,0.464,,25.2,62.4,6.24,,25.2,16.3,,25.2,4.429,,25.2,3,,25.2,252,223,,25.2,18.6,,25.2,252,396.9,,25.2,6.59
24.4,0.1146,,24.4,20,,24.4,6.96,,24.4,0,0,,24.4,46.4,0.464,,24.4,65.38,6.538,,24.4,58.7,,24.4,3.9175,,24.4,3,,24.4,244,223,,24.4,18.6,,24.4,244,394.96,,24.4,7.73
35.2,0.22188,,35.2,20,,35.2,6.96,,35.2,10,1,,35.2,46.4,0.464,,35.2,76.91,7.691,,35.2,51.8,,35.2,4.3665,,35.2,3,,35.2,352,223,,35.2,18.6,,35.2,352,390.77,,35.2,6.58
32.4,0.05644,,32.4,40,,32.4,6.41,,32.4,10,1,,32.4,44.7,0.447,,32.4,67.58,6.758,,32.4,32.9,,32.4,4.0776,,32.4,4,,32.4,324,254,,32.4,17.6,,32.4,324,396.9,,32.4,3.53
35.1,0.21038,,35.1,20,,35.1,3.33,,35.1,0,0,,35.1,44.29,0.4429,,35.1,68.12,6.812,,35.1,32.2,,35.1,4.1007,,35.1,5,,35.1,351,216,,35.1,14.9,,35.1,351,396.9,,35.1,4.85
35.4,0.03705,,35.4,20,,35.4,3.33,,35.4,0,0,,35.4,44.29,0.4429,,35.4,69.68,6.968,,35.4,37.2,,35.4,5.2447,,35.4,5,,35.4,354,216,,35.4,14.9,,35.4,354,392.23,,35.4,4.59
46,0.06129,,46,20,,46,3.33,,46,10,1,,46,44.29,0.4429,,46,76.45,7.645,,46,49.7,,46,5.2119,,46,5,,46,460,216,,46,14.9,,46,460,377.07,,46,3.01
50,0.01501,,50,90,,50,1.21,,50,10,1,,50,40.1,0.401,,50,79.23,7.923,,50,24.8,,50,5.885,,50,1,,50,500,198,,50,13.6,,50,500,395.52,,50,3.16
32.2,0.00906,,32.2,90,,32.2,2.97,,32.2,0,0,,32.2,40,0.4,,32.2,70.88,7.088,,32.2,20.8,,32.2,7.3073,,32.2,1,,32.2,322,285,,32.2,15.3,,32.2,322,394.72,,32.2,7.85
22,0.01096,,22,55,,22,2.25,,22,0,0,,22,38.9,0.389,,22,64.53,6.453,,22,31.9,,22,7.3073,,22,1,,22,220,300,,22,15.3,,22,220,394.72,,22,8.23
20.1,0.01965,,20.1,80,,20.1,1.76,,20.1,0,0,,20.1,38.5,0.385,,20.1,62.3,6.23,,20.1,31.5,,20.1,9.0892,,20.1,1,,20.1,201,241,,20.1,18.2,,20.1,201,341.6,,20.1,12.93
22.3,0.0459,,22.3,52.5,,22.3,5.32,,22.3,0,0,,22.3,40.5,0.405,,22.3,63.15,6.315,,22.3,45.6,,22.3,7.3172,,22.3,6,,22.3,223,293,,22.3,16.6,,22.3,223,396.9,,22.3,7.6
28.5,0.03502,,28.5,80,,28.5,4.95,,28.5,0,0,,28.5,41.1,0.411,,28.5,68.61,6.861,,28.5,27.9,,28.5,5.1167,,28.5,4,,28.5,285,245,,28.5,19.2,,28.5,285,396.9,,28.5,3.33
27.9,0.03615,,27.9,80,,27.9,4.95,,27.9,0,0,,27.9,41.1,0.411,,27.9,66.3,6.63,,27.9,23.4,,27.9,5.1167,,27.9,4,,27.9,279,245,,27.9,19.2,,27.9,279,396.9,,27.9,4.7
23.9,0.08265,,23.9,0,,23.9,13.92,,23.9,0,0,,23.9,43.7,0.437,,23.9,61.27,6.127,,23.9,18.4,,23.9,5.5027,,23.9,4,,23.9,239,289,,23.9,16,,23.9,239,396.9,,23.9,8.58
27.1,0.05372,,27.1,0,,27.1,13.92,,27.1,0,0,,27.1,43.7,0.437,,27.1,65.49,6.549,,27.1,51,,27.1,5.9604,,27.1,4,,27.1,271,289,,27.1,16,,27.1,271,392.85,,27.1,7.39
20.3,0.14103,,20.3,0,,20.3,13.92,,20.3,0,0,,20.3,43.7,0.437,,20.3,57.9,5.79,,20.3,58,,20.3,6.32,,20.3,4,,20.3,203,289,,20.3,16,,20.3,203,396.9,,20.3,15.84
22,0.03537,,22,34,,22,6.09,,22,0,0,,22,43.3,0.433,,22,65.9,6.59,,22,40.4,,22,5.4917,,22,7,,22,220,329,,22,16.1,,22,220,395.75,,22,9.5
26.4,0.09266,,26.4,34,,26.4,6.09,,26.4,0,0,,26.4,43.3,0.433,,26.4,64.95,6.495,,26.4,18.4,,26.4,5.4917,,26.4,7,,26.4,264,329,,26.4,16.1,,26.4,264,383.61,,26.4,8.67
33.1,0.1,,33.1,34,,33.1,6.09,,33.1,0,0,,33.1,43.3,0.433,,33.1,69.82,6.982,,33.1,17.7,,33.1,5.4917,,33.1,7,,33.1,331,329,,33.1,16.1,,33.1,331,390.43,,33.1,4.86
36.1,0.05515,,36.1,33,,36.1,2.18,,36.1,0,0,,36.1,47.2,0.472,,36.1,72.36,7.236,,36.1,41.1,,36.1,4.022,,36.1,7,,36.1,361,222,,36.1,18.4,,36.1,361,393.68,,36.1,6.93
28.4,0.05479,,28.4,33,,28.4,2.18,,28.4,0,0,,28.4,47.2,0.472,,28.4,66.16,6.616,,28.4,58.1,,28.4,3.37,,28.4,7,,28.4,284,222,,28.4,18.4,,28.4,284,393.36,,28.4,8.93
33.4,0.07503,,33.4,33,,33.4,2.18,,33.4,0,0,,33.4,47.2,0.472,,33.4,74.2,7.42,,33.4,71.9,,33.4,3.0992,,33.4,7,,33.4,334,222,,33.4,18.4,,33.4,334,396.9,,33.4,6.47
22.8,0.49298,,22.8,0,,22.8,9.9,,22.8,0,0,,22.8,54.4,0.544,,22.8,66.35,6.635,,22.8,82.5,,22.8,3.3175,,22.8,4,,22.8,228,304,,22.8,18.4,,22.8,228,396.9,,22.8,4.54
20.3,0.3494,,20.3,0,,20.3,9.9,,20.3,0,0,,20.3,54.4,0.544,,20.3,59.72,5.972,,20.3,76.7,,20.3,3.1025,,20.3,4,,20.3,203,304,,20.3,18.4,,20.3,203,396.24,,20.3,9.97
16.1,2.63548,,16.1,0,,16.1,9.9,,16.1,0,0,,16.1,54.4,0.544,,16.1,49.73,4.973,,16.1,37.8,,16.1,2.5194,,16.1,4,,16.1,161,304,,16.1,18.4,,16.1,161,350.45,,16.1,12.64
22.1,0.79041,,22.1,0,,22.1,9.9,,22.1,0,0,,22.1,54.4,0.544,,22.1,61.22,6.122,,22.1,52.8,,22.1,2.6403,,22.1,4,,22.1,221,304,,22.1,18.4,,22.1,221,396.9,,22.1,5.98
19.4,0.26169,,19.4,0,,19.4,9.9,,19.4,0,0,,19.4,54.4,0.544,,19.4,60.23,6.023,,19.4,90.4,,19.4,2.834,,19.4,4,,19.4,194,304,,19.4,18.4,,19.4,194,396.3,,19.4,11.72
16.2,0.25356,,16.2,0,,16.2,9.9,,16.2,0,0,,16.2,54.4,0.544,,16.2,57.05,5.705,,16.2,77.7,,16.2,3.945,,16.2,4,,16.2,162,304,,16.2,18.4,,16.2,162,396.42,,16.2,11.5
17.8,0.31827,,17.8,0,,17.8,9.9,,17.8,0,0,,17.8,54.4,0.544,,17.8,59.14,5.914,,17.8,83.2,,17.8,3.9986,,17.8,4,,17.8,178,304,,17.8,18.4,,17.8,178,390.7,,17.8,18.33
19.8,0.24522,,19.8,0,,19.8,9.9,,19.8,0,0,,19.8,54.4,0.544,,19.8,57.82,5.782,,19.8,71.7,,19.8,4.0317,,19.8,4,,19.8,198,304,,19.8,18.4,,19.8,198,396.9,,19.8,15.94
23.1,0.40202,,23.1,0,,23.1,9.9,,23.1,0,0,,23.1,54.4,0.544,,23.1,63.82,6.382,,23.1,67.2,,23.1,3.5325,,23.1,4,,23.1,231,304,,23.1,18.4,,23.1,231,395.21,,23.1,10.36
23.8,0.1676,,23.8,0,,23.8,7.38,,23.8,0,0,,23.8,49.3,0.493,,23.8,64.26,6.426,,23.8,52.3,,23.8,4.5404,,23.8,5,,23.8,238,287,,23.8,19.6,,23.8,238,396.9,,23.8,7.2
25,0.34109,,25,0,,25,7.38,,25,0,0,,25,49.3,0.493,,25,64.15,6.415,,25,40.1,,25,4.7211,,25,5,,25,250,287,,25,19.6,,25,250,396.9,,25,6.12
24.6,0.19186,,24.6,0,,24.6,7.38,,24.6,0,0,,24.6,49.3,0.493,,24.6,64.31,6.431,,24.6,14.7,,24.6,5.4159,,24.6,5,,24.6,246,287,,24.6,19.6,,24.6,246,393.68,,24.6,5.08
22.2,0.24103,,22.2,0,,22.2,7.38,,22.2,0,0,,22.2,49.3,0.493,,22.2,60.83,6.083,,22.2,43.7,,22.2,5.4159,,22.2,5,,22.2,222,287,,22.2,19.6,,22.2,222,396.9,,22.2,12.79
19.3,0.06617,,19.3,0,,19.3,3.24,,19.3,0,0,,19.3,46,0.46,,19.3,58.68,5.868,,19.3,25.8,,19.3,5.2146,,19.3,4,,19.3,193,430,,19.3,16.9,,19.3,193,382.44,,19.3,9.97
19.8,0.04544,,19.8,0,,19.8,3.24,,19.8,0,0,,19.8,46,0.46,,19.8,61.44,6.144,,19.8,32.2,,19.8,5.8736,,19.8,4,,19.8,198,430,,19.8,16.9,,19.8,198,368.57,,19.8,9.09
22.2,0.05083,,22.2,0,,22.2,5.19,,22.2,0,0,,22.2,51.5,0.515,,22.2,63.16,6.316,,22.2,38.1,,22.2,6.4584,,22.2,5,,22.2,222,224,,22.2,20.2,,22.2,222,389.71,,22.2,5.68
20.7,0.03738,,20.7,0,,20.7,5.19,,20.7,0,0,,20.7,51.5,0.515,,20.7,63.1,6.31,,20.7,38.5,,20.7,6.4584,,20.7,5,,20.7,207,224,,20.7,20.2,,20.7,207,389.4,,20.7,6.75
19.5,0.03427,,19.5,0,,19.5,5.19,,19.5,0,0,,19.5,51.5,0.515,,19.5,58.69,5.869,,19.5,46.3,,19.5,5.2311,,19.5,5,,19.5,195,224,,19.5,20.2,,19.5,195,396.9,,19.5,9.8
20.6,0.03306,,20.6,0,,20.6,5.19,,20.6,0,0,,20.6,51.5,0.515,,20.6,60.59,6.059,,20.6,37.3,,20.6,4.8122,,20.6,5,,20.6,206,224,,20.6,20.2,,20.6,206,396.14,,20.6,8.51
19,0.05497,,19,0,,19,5.19,,19,0,0,,19,51.5,0.515,,19,59.85,5.985,,19,45.4,,19,4.8122,,19,5,,19,190,224,,19,20.2,,19,190,396.9,,19,9.74
18.7,0.06151,,18.7,0,,18.7,5.19,,18.7,0,0,,18.7,51.5,0.515,,18.7,59.68,5.968,,18.7,58.5,,18.7,4.8122,,18.7,5,,18.7,187,224,,18.7,20.2,,18.7,187,396.9,,18.7,9.29
32.7,0.01301,,32.7,35,,32.7,1.52,,32.7,0,0,,32.7,44.2,0.442,,32.7,72.41,7.241,,32.7,49.3,,32.7,7.0379,,32.7,1,,32.7,327,284,,32.7,15.5,,32.7,327,394.74,,32.7,5.49
16.5,0.02498,,16.5,0,,16.5,1.89,,16.5,0,0,,16.5,51.8,0.518,,16.5,65.4,6.54,,16.5,59.7,,16.5,6.2669,,16.5,1,,16.5,165,422,,16.5,15.9,,16.5,165,389.96,,16.5,8.65
23.9,0.02543,,23.9,55,,23.9,3.78,,23.9,0,0,,23.9,48.4,0.484,,23.9,66.96,6.696,,23.9,56.4,,23.9,5.7321,,23.9,5,,23.9,239,370,,23.9,17.6,,23.9,239,396.9,,23.9,7.18
31.2,0.03049,,31.2,55,,31.2,3.78,,31.2,0,0,,31.2,48.4,0.484,,31.2,68.74,6.874,,31.2,28.1,,31.2,6.4654,,31.2,5,,31.2,312,370,,31.2,17.6,,31.2,312,387.97,,31.2,4.61
23.1,0.0187,,23.1,85,,23.1,4.15,,23.1,0,0,,23.1,42.9,0.429,,23.1,65.16,6.516,,23.1,27.7,,23.1,8.5353,,23.1,4,,23.1,231,351,,23.1,17.9,,23.1,231,392.43,,23.1,6.36
